Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty
0,0 ,0,0,5,90,300,Ottoman WON,0.789518,0.937407
0,0 ,0,0,5,93,300,Ottoman WON,0.821888,0.930431
0,0 ,0,0,5,91,300,Ottoman WON,0.829868,0.966007
0,0 ,0,0,5,92,300,Ottoman WON,0.824158,0.959582
0,0 ,0,0,5,89,300,Ottoman WON,0.785934,0.942963
0,0 ,0,0,5,96,300,Ottoman WON,0.854033,0.976633
0,0 ,0,0,5,91,300,Ottoman WON,0.78598,0.94402
0,0 ,0,0,5,95,300,Ottoman WON,0.792416,0.962599
0,1 ,0,0,0,117,300,Tamerlane WON,0.980381,0.710519
0,1 ,0,0,0,119,300,Tamerlane WON,0.916262,0.700943
0,1 ,0,0,0,126,300,Tamerlane WON,0.967893,0.745138
0,1 ,0,0,0,133,300,Tamerlane WON,0.909179,0.761461
0,1 ,0,0,0,125,300,Tamerlane WON,0.940631,0.737684
0,1 ,0,0,0,124,300,Tamerlane WON,0.96806,0.760936
0,1 ,0,0,0,126,300,Tamerlane WON,0.911214,0.717003
0,1 ,0,0,0,124,300,Tamerlane WON,0.913333,0.727731
0,1 ,0,0,0,122,300,Tamerlane WON,0.96131,0.677899
0,1 ,0,0,0,120,300,Tamerlane WON,0.955929,0.767407
0,1 ,0,0,1,126,300,Tamerlane WON,0.949497,0.81596
0,1 ,0,0,1,128,300,Tamerlane WON,0.929764,0.836054
0,1 ,0,0,1,134,300,Tamerlane WON,0.946082,0.849562
0,1 ,0,0,1,139,300,Tamerlane WON,0.957477,0.859589
0,1 ,0,0,1,133,300,Tamerlane WON,0.940472,0.802397
0,1 ,0,0,1,137,300,Tamerlane WON,0.922215,0.862983
0,1 ,0,0,1,125,300,Tamerlane WON,0.926646,0.805535
0,1 ,0,0,1,128,300,Tamerlane WON,0.961364,0.815017
0,1 ,0,0,1,125,300,Tamerlane WON,0.919046,0.803939
0,1 ,0,0,1,137,300,Tamerlane WON,0.931785,0.827845
0,1 ,0,0,2,137,300,Tamerlane WON,0.952919,0.941333
0,1 ,0,0,2,135,300,Tamerlane WON,0.919865,0.89697
0,1 ,0,0,2,147,300,Tamerlane WON,0.938396,0.925313
0,1 ,0,0,2,138,300,Tamerlane WON,0.943937,0.926101
0,1 ,0,0,2,113,300,Ottoman WON,0.896847,0.91837
0,1 ,0,0,2,134,300,Tamerlane WON,0.930541,0.92431
0,1 ,0,0,2,141,300,Tamerlane WON,0.915288,0.91629
0,1 ,0,0,2,109,300,Ottoman WON,0.893216,0.920451
0,1 ,0,0,2,143,300,Tamerlane WON,0.929369,0.9393
0,1 ,0,0,2,142,300,Tamerlane WON,0.951279,0.895152
0,1 ,0,0,3,107,300,Ottoman WON,0.888129,0.963407
0,1 ,0,0,3,108,300,Ottoman WON,0.9171,0.949475
0,1 ,0,0,3,107,300,Ottoman WON,0.864827,0.970269
0,1 ,0,0,3,101,300,Ottoman WON,0.835823,0.94567
0,1 ,0,0,3,103,300,Ottoman WON,0.846337,0.970774
0,1 ,0,0,3,99,300,Ottoman WON,0.887896,0.924815
0,1 ,0,0,3,112,300,Ottoman WON,0.892289,0.957825
0,1 ,0,0,3,100,300,Ottoman WON,0.817124,0.961111
0,1 ,0,0,3,107,300,Ottoman WON,0.85404,0.942027
0,1 ,0,0,3,96,300,Ottoman WON,0.789004,0.960478
0,1 ,0,0,4,95,300,Ottoman WON,0.757957,0.970323
0,1 ,0,0,4,97,300,Ottoman WON,0.702645,0.938168
0,1 ,0,0,4,98,300,Ottoman WON,0.724993,0.934525
0,1 ,0,0,4,95,300,Ottoman WON,0.806768,0.962296
0,1 ,0,0,4,95,300,Ottoman WON,0.751732,0.967663
0,1 ,0,0,4,101,300,Ottoman WON,0.779899,0.968512
0,1 ,0,0,4,100,300,Ottoman WON,0.754804,0.96501
0,1 ,0,0,4,98,300,Ottoman WON,0.788601,0.970088
0,1 ,0,0,4,98,300,Ottoman WON,0.780159,0.921818
0,1 ,0,0,4,100,300,Ottoman WON,0.787486,0.959152
0,1 ,0,0,5,93,300,Ottoman WON,0.671102,0.964141
0,1 ,0,0,5,93,300,Ottoman WON,0.687743,0.964875
0,1 ,0,0,5,93,300,Ottoman WON,0.72499,0.977811
0,1 ,0,0,5,89,300,Ottoman WON,0.716832,0.965502
0,1 ,0,0,5,92,300,Ottoman WON,0.718442,0.988485
0,1 ,0,0,5,94,300,Ottoman WON,0.704805,0.963919
0,1 ,0,0,5,93,300,Ottoman WON,0.646752,0.970478
0,1 ,0,0,5,91,300,Ottoman WON,0.723571,0.968007
0,1 ,0,0,5,93,300,Ottoman WON,0.698759,0.968599
0,1 ,0,0,5,90,300,Ottoman WON,0.667446,0.96037
0,2 ,0,0,0,105,300,Tamerlane WON,0.95081,0.620492
0,2 ,0,0,0,99,300,Tamerlane WON,0.955619,0.607253
0,2 ,0,0,0,98,300,Tamerlane WON,0.938226,0.650566
0,2 ,0,0,0,107,300,Tamerlane WON,0.95381,0.582202
0,2 ,0,0,0,100,300,Tamerlane WON,0.995905,0.694431
0,2 ,0,0,0,102,300,Tamerlane WON,0.947107,0.571333
0,2 ,0,0,0,111,300,Tamerlane WON,0.951333,0.664512
0,2 ,0,0,0,99,300,Tamerlane WON,0.934571,0.66103
0,2 ,0,0,0,97,300,Tamerlane WON,0.97619,0.609589
0,2 ,0,0,0,99,300,Tamerlane WON,0.940583,0.653529
0,2 ,0,0,1,105,300,Tamerlane WON,0.945846,0.694168
0,2 ,0,0,1,109,300,Tamerlane WON,0.948697,0.723556
0,2 ,0,0,1,100,300,Tamerlane WON,0.937405,0.747569
0,2 ,0,0,1,100,300,Tamerlane WON,0.942021,0.709549
0,2 ,0,0,1,106,300,Tamerlane WON,0.922133,0.749152
0,2 ,0,0,1,106,300,Tamerlane WON,0.921631,0.703098
0,2 ,0,0,1,103,300,Tamerlane WON,0.953056,0.750108
0,2 ,0,0,1,101,300,Tamerlane WON,0.909928,0.733926
0,2 ,0,0,1,104,300,Tamerlane WON,0.968205,0.731468
0,2 ,0,0,1,106,300,Tamerlane WON,0.934297,0.792114
0,2 ,0,0,2,111,300,Tamerlane WON,0.930036,0.861609
0,2 ,0,0,2,112,300,Tamerlane WON,0.954243,0.87662
0,2 ,0,0,2,109,300,Tamerlane WON,0.943604,0.836943
0,2 ,0,0,2,109,300,Tamerlane WON,0.925748,0.850411
0,2 ,0,0,2,115,300,Tamerlane WON,0.93527,0.860182
0,2 ,0,0,2,112,300,Tamerlane WON,0.953802,0.871131
0,2 ,0,0,2,109,300,Tamerlane WON,0.90182,0.740391
0,2 ,0,0,2,108,300,Tamerlane WON,0.946532,0.870869
0,2 ,0,0,2,110,300,Tamerlane WON,0.908387,0.811232
0,2 ,0,0,2,108,300,Tamerlane WON,0.912234,0.800539
0,2 ,0,0,3,126,300,Tamerlane WON,0.944297,0.900747
0,2 ,0,0,3,119,300,Tamerlane WON,0.979896,0.938303
0,2 ,0,0,3,119,300,Tamerlane WON,0.94502,0.910384
0,2 ,0,0,3,116,300,Tamerlane WON,0.925928,0.914431
0,2 ,0,0,3,119,300,Tamerlane WON,0.927092,0.900034
0,2 ,0,0,3,94,300,Ottoman WON,0.92645,0.926519
0,2 ,0,0,3,117,300,Tamerlane WON,0.92543,0.87633
0,2 ,0,0,3,120,300,Tamerlane WON,0.941992,0.931811
0,2 ,0,0,3,117,300,Tamerlane WON,0.942088,0.901475
0,2 ,0,0,3,93,300,Ottoman WON,0.916426,0.916781
0,2 ,0,0,4,120,300,Tamerlane WON,0.88908,0.895933
0,2 ,0,0,4,97,300,Ottoman WON,0.876935,0.960296
0,2 ,0,0,4,96,300,Ottoman WON,0.88137,0.921569
0,2 ,0,0,4,92,300,Ottoman WON,0.81879,0.966687
0,2 ,0,0,4,99,300,Ottoman WON,0.892775,0.933643
0,2 ,0,0,4,94,300,Ottoman WON,0.86592,0.939077
0,2 ,0,0,4,95,300,Ottoman WON,0.887167,0.925805
0,2 ,0,0,4,92,300,Ottoman WON,0.861703,0.939832
0,2 ,0,0,4,93,300,Ottoman WON,0.865261,0.967737
0,2 ,0,0,4,92,300,Ottoman WON,0.836616,0.946687
0,2 ,0,0,5,86,300,Ottoman WON,0.788106,0.958572
0,2 ,0,0,5,84,300,Ottoman WON,0.742343,0.948727
0,2 ,0,0,5,89,300,Ottoman WON,0.786257,0.956956
0,2 ,0,0,5,85,300,Ottoman WON,0.760818,0.956653
0,2 ,0,0,5,90,300,Ottoman WON,0.793307,0.960256
0,2 ,0,0,5,91,300,Ottoman WON,0.776376,0.980862
0,2 ,0,0,5,90,300,Ottoman WON,0.829974,0.967603
0,2 ,0,0,5,91,300,Ottoman WON,0.826099,0.968471
0,2 ,0,0,5,93,300,Ottoman WON,0.827901,0.964983
0,2 ,0,0,5,97,300,Ottoman WON,0.811386,0.95802
1,0 ,0,0,0,96,300,Tamerlane WON,0.893405,0.586074
1,0 ,0,0,0,93,300,Tamerlane WON,0.923048,0.604835
1,0 ,0,0,0,95,300,Tamerlane WON,0.952464,0.598182
1,0 ,0,0,0,94,300,Tamerlane WON,0.939274,0.570465
1,0 ,0,0,0,96,300,Tamerlane WON,0.956262,0.643084
1,0 ,0,0,0,101,300,Tamerlane WON,0.968845,0.61404
1,0 ,0,0,0,94,300,Tamerlane WON,0.923333,0.628667
1,0 ,0,0,0,99,300,Tamerlane WON,0.953452,0.660458
1,0 ,0,0,0,100,300,Tamerlane WON,0.938214,0.638815
1,0 ,0,0,0,98,300,Tamerlane WON,0.942405,0.677354
1,0 ,0,0,1,99,300,Tamerlane WON,0.872082,0.69499
1,0 ,0,0,1,105,300,Tamerlane WON,0.94921,0.737212
1,0 ,0,0,1,101,300,Tamerlane WON,0.924564,0.658822
1,0 ,0,0,1,103,300,Tamerlane WON,0.92039,0.703084
1,0 ,0,0,1,100,300,Tamerlane WON,0.885231,0.709091
1,0 ,0,0,1,101,300,Tamerlane WON,0.919733,0.724013
1,0 ,0,0,1,104,300,Tamerlane WON,0.917703,0.711111
1,0 ,0,0,1,99,300,Tamerlane WON,0.921938,0.724566
1,0 ,0,0,1,97,300,Tamerlane WON,0.900759,0.706135
1,0 ,0,0,1,101,300,Tamerlane WON,0.947682,0.752875
1,0 ,0,0,2,112,300,Tamerlane WON,0.923694,0.793657
1,0 ,0,0,2,108,300,Tamerlane WON,0.948946,0.798478
1,0 ,0,0,2,113,300,Tamerlane WON,0.940252,0.813232
1,0 ,0,0,2,108,300,Tamerlane WON,0.935712,0.823475
1,0 ,0,0,2,116,300,Tamerlane WON,0.970216,0.8067
1,0 ,0,0,2,105,300,Tamerlane WON,0.911874,0.78136
1,0 ,0,0,2,104,300,Tamerlane WON,0.950342,0.770357
1,0 ,0,0,2,100,300,Tamerlane WON,0.93282,0.792714
1,0 ,0,0,2,103,300,Tamerlane WON,0.91118,0.773663
1,0 ,0,0,2,109,300,Tamerlane WON,0.962586,0.814923
1,0 ,0,0,3,118,300,Tamerlane WON,0.935574,0.913663
1,0 ,0,0,3,116,300,Tamerlane WON,0.944265,0.894249
1,0 ,0,0,3,127,300,Tamerlane WON,0.943398,0.916458
1,0 ,0,0,3,120,300,Tamerlane WON,0.948265,0.912761
1,0 ,0,0,3,120,300,Tamerlane WON,0.94502,0.897165
1,0 ,0,0,3,116,300,Tamerlane WON,0.936594,0.874067
1,0 ,0,0,3,117,300,Tamerlane WON,0.925478,0.867966
1,0 ,0,0,3,112,300,Tamerlane WON,0.904843,0.865003
1,0 ,0,0,3,114,300,Tamerlane WON,0.928835,0.871704
1,0 ,0,0,3,125,300,Tamerlane WON,0.961478,0.901946
1,0 ,0,0,4,106,300,Ottoman WON,0.909522,0.969778
1,0 ,0,0,4,105,300,Ottoman WON,0.907116,0.934593
1,0 ,0,0,4,98,300,Ottoman WON,0.896645,0.940162
1,0 ,0,0,4,123,300,Tamerlane WON,0.918848,0.93668
1,0 ,0,0,4,95,300,Ottoman WON,0.871297,0.927892
1,0 ,0,0,4,96,300,Ottoman WON,0.866572,0.923279
1,0 ,0,0,4,95,300,Ottoman WON,0.826319,0.952128
1,0 ,0,0,4,120,300,Tamerlane WON,0.92742,0.930222
1,0 ,0,0,4,93,300,Ottoman WON,0.863826,0.948727
1,0 ,0,0,4,109,300,Ottoman WON,0.924884,0.961946
1,0 ,0,0,5,93,300,Ottoman WON,0.865102,0.943764
1,0 ,0,0,5,89,300,Ottoman WON,0.814383,0.964673
1,0 ,0,0,5,93,300,Ottoman WON,0.792871,0.945852
1,0 ,0,0,5,99,300,Ottoman WON,0.861518,0.962195
1,0 ,0,0,5,95,300,Ottoman WON,0.814502,0.974256
1,0 ,0,0,5,89,300,Ottoman WON,0.765848,0.946444
1,0 ,0,0,5,89,300,Ottoman WON,0.776132,0.935421
1,0 ,0,0,5,94,300,Ottoman WON,0.836356,0.949926
1,0 ,0,0,5,88,300,Ottoman WON,0.813135,0.967515
1,0 ,0,0,5,96,300,Ottoman WON,0.789175,0.935488
1,1 ,0,0,0,119,300,Tamerlane WON,0.892488,0.725367
1,1 ,0,0,0,118,300,Tamerlane WON,0.910619,0.703825
1,1 ,0,0,0,132,300,Tamerlane WON,0.917917,0.730391
1,1 ,0,0,0,122,300,Tamerlane WON,0.910881,0.654498
1,1 ,0,0,0,130,300,Tamerlane WON,0.944762,0.753724
1,1 ,0,0,0,124,300,Tamerlane WON,0.93694,0.745643
1,1 ,0,0,0,125,300,Tamerlane WON,0.945619,0.75967
1,1 ,0,0,0,126,300,Tamerlane WON,0.980321,0.736323
1,1 ,0,0,0,118,300,Tamerlane WON,0.895179,0.68604
1,1 ,0,0,0,119,300,Tamerlane WON,0.921619,0.685293
1,1 ,0,0,1,124,300,Tamerlane WON,0.901026,0.754626
1,1 ,0,0,1,126,300,Tamerlane WON,0.933856,0.816707
1,1 ,0,0,1,132,300,Tamerlane WON,0.939067,0.851441
1,1 ,0,0,1,129,300,Tamerlane WON,0.909005,0.781704
1,1 ,0,0,1,131,300,Tamerlane WON,0.946708,0.803589
1,1 ,0,0,1,123,300,Tamerlane WON,0.894564,0.793293
1,1 ,0,0,1,131,300,Tamerlane WON,0.949897,0.824768
1,1 ,0,0,1,133,300,Tamerlane WON,0.893508,0.837973
1,1 ,0,0,1,129,300,Tamerlane WON,0.946492,0.752411
1,1 ,0,0,1,125,300,Tamerlane WON,0.881815,0.795758
1,1 ,0,0,2,119,300,Ottoman WON,0.948775,0.939684
1,1 ,0,0,2,109,300,Ottoman WON,0.90064,0.944007
1,1 ,0,0,2,143,300,Tamerlane WON,0.922505,0.880424
1,1 ,0,0,2,139,300,Tamerlane WON,0.91682,0.873879
1,1 ,0,0,2,147,300,Tamerlane WON,0.943613,0.962936
1,1 ,0,0,2,145,300,Tamerlane WON,0.91,0.908862
1,1 ,0,0,2,138,300,Tamerlane WON,0.901108,0.920714
1,1 ,0,0,2,140,300,Tamerlane WON,0.899568,0.930108
1,1 ,0,0,2,129,300,Ottoman WON,0.974631,0.954108
1,1 ,0,0,2,137,300,Tamerlane WON,0.910631,0.925044
1,1 ,0,0,3,100,300,Ottoman WON,0.792305,0.919306
1,1 ,0,0,3,104,300,Ottoman WON,0.887703,0.962916
1,1 ,0,0,3,100,300,Ottoman WON,0.824112,0.972822
1,1 ,0,0,3,104,300,Ottoman WON,0.79094,0.956983
1,1 ,0,0,3,109,300,Ottoman WON,0.901149,0.98666
1,1 ,0,0,3,98,300,Ottoman WON,0.7929,0.923677
1,1 ,0,0,3,101,300,Ottoman WON,0.790048,0.937158
1,1 ,0,0,3,97,300,Ottoman WON,0.779671,0.946983
1,1 ,0,0,3,98,300,Ottoman WON,0.835141,0.926606
1,1 ,0,0,3,108,300,Ottoman WON,0.867502,0.977892
1,1 ,0,0,4,96,300,Ottoman WON,0.734239,0.958956
1,1 ,0,0,4,96,300,Ottoman WON,0.71713,0.944209
1,1 ,0,0,4,98,300,Ottoman WON,0.758558,0.962545
1,1 ,0,0,4,99,300,Ottoman WON,0.764754,0.969677
1,1 ,0,0,4,99,300,Ottoman WON,0.730152,0.976047
1,1 ,0,0,4,96,300,Ottoman WON,0.771638,0.967374
1,1 ,0,0,4,96,300,Ottoman WON,0.764536,0.954168
1,1 ,0,0,4,92,300,Ottoman WON,0.694725,0.9607
1,1 ,0,0,4,94,300,Ottoman WON,0.746645,0.948182
1,1 ,0,0,4,95,300,Ottoman WON,0.735768,0.965212
1,1 ,0,0,5,92,300,Ottoman WON,0.671696,0.975859
1,1 ,0,0,5,98,300,Ottoman WON,0.725023,0.980168
1,1 ,0,0,5,95,300,Ottoman WON,0.675551,0.975529
1,1 ,0,0,5,87,300,Ottoman WON,0.660587,0.938364
1,1 ,0,0,5,96,300,Ottoman WON,0.688706,0.98171
1,1 ,0,0,5,91,300,Ottoman WON,0.693578,0.974835
1,1 ,0,0,5,88,300,Ottoman WON,0.658964,0.969603
1,1 ,0,0,5,93,300,Ottoman WON,0.680818,0.948108
1,1 ,0,0,5,89,300,Ottoman WON,0.699116,0.973852
1,1 ,0,0,5,90,300,Ottoman WON,0.699644,0.980761
1,2 ,0,0,0,97,300,Tamerlane WON,0.935571,0.633259
1,2 ,0,0,0,99,300,Tamerlane WON,0.934333,0.641077
1,2 ,0,0,0,92,300,Tamerlane WON,0.930393,0.625374
1,2 ,0,0,0,100,300,Tamerlane WON,0.973595,0.636316
1,2 ,0,0,0,96,300,Tamerlane WON,0.963583,0.63798
1,2 ,0,0,0,94,300,Tamerlane WON,0.942607,0.649852
1,2 ,0,0,0,98,300,Tamerlane WON,0.918179,0.617017
1,2 ,0,0,0,97,300,Tamerlane WON,0.947226,0.618788
1,2 ,0,0,0,96,300,Tamerlane WON,0.897798,0.645084
1,2 ,0,0,0,95,300,Tamerlane WON,0.94494,0.561966
1,2 ,0,0,1,99,300,Tamerlane WON,0.919795,0.76231
1,2 ,0,0,1,106,300,Tamerlane WON,0.881682,0.695091
1,2 ,0,0,1,102,300,Tamerlane WON,0.899169,0.702707
1,2 ,0,0,1,105,300,Tamerlane WON,0.933036,0.765508
1,2 ,0,0,1,106,300,Tamerlane WON,0.928738,0.750754
1,2 ,0,0,1,95,300,Tamerlane WON,0.930677,0.700923
1,2 ,0,0,1,104,300,Tamerlane WON,0.924205,0.733865
1,2 ,0,0,1,99,300,Tamerlane WON,0.956041,0.724882
1,2 ,0,0,1,76,300,Tamerlane WON,0.959067,0.776707
1,2 ,0,0,1,100,300,Tamerlane WON,0.933518,0.719037
1,2 ,0,0,2,100,300,Tamerlane WON,0.879459,0.770808
1,2 ,0,0,2,104,300,Tamerlane WON,0.865261,0.805704
1,2 ,0,0,2,111,300,Tamerlane WON,0.934243,0.82365
1,2 ,0,0,2,114,300,Tamerlane WON,0.944405,0.838182
1,2 ,0,0,2,107,300,Tamerlane WON,0.889486,0.820781
1,2 ,0,0,2,105,300,Tamerlane WON,0.884883,0.816397
1,2 ,0,0,2,113,300,Tamerlane WON,0.911586,0.834424
1,2 ,0,0,2,112,300,Tamerlane WON,0.911649,0.822956
1,2 ,0,0,2,106,300,Tamerlane WON,0.940261,0.823192
1,2 ,0,0,2,108,300,Tamerlane WON,0.904018,0.77868
1,2 ,0,0,3,121,300,Tamerlane WON,0.923309,0.883475
1,2 ,0,0,3,125,300,Tamerlane WON,0.916104,0.923764
1,2 ,0,0,3,117,300,Tamerlane WON,0.930819,0.889993
1,2 ,0,0,3,126,300,Tamerlane WON,0.934643,0.913017
1,2 ,0,0,3,118,300,Tamerlane WON,0.90849,0.924121
1,2 ,0,0,3,121,300,Tamerlane WON,0.891237,0.93301
1,2 ,0,0,3,118,300,Tamerlane WON,0.901157,0.904828
1,2 ,0,0,3,113,300,Tamerlane WON,0.912177,0.881367
1,2 ,0,0,3,91,300,Ottoman WON,0.889253,0.92868
1,2 ,0,0,3,122,300,Tamerlane WON,0.934948,0.899219
1,2 ,0,0,4,100,300,Ottoman WON,0.921478,0.960774
1,2 ,0,0,4,99,300,Ottoman WON,0.89921,0.933515
1,2 ,0,0,4,94,300,Ottoman WON,0.886674,0.955939
1,2 ,0,0,4,91,300,Ottoman WON,0.823862,0.959966
1,2 ,0,0,4,93,300,Ottoman WON,0.869116,0.931246
1,2 ,0,0,4,85,300,Ottoman WON,0.843543,0.954034
1,2 ,0,0,4,95,300,Ottoman WON,0.859159,0.970949
1,2 ,0,0,4,88,300,Ottoman WON,0.818775,0.925495
1,2 ,0,0,4,126,300,Tamerlane WON,0.92979,0.954492
1,2 ,0,0,4,101,300,Ottoman WON,0.899406,0.945246
1,2 ,0,0,5,88,300,Ottoman WON,0.807703,0.96268
1,2 ,0,0,5,78,300,Ottoman WON,0.729815,0.940909
1,2 ,0,0,5,84,300,Ottoman WON,0.773175,0.926141
1,2 ,0,0,5,89,300,Ottoman WON,0.786779,0.974896
1,2 ,0,0,5,92,300,Ottoman WON,0.787571,0.951306
1,2 ,0,0,5,91,300,Ottoman WON,0.798185,0.939266
1,2 ,0,0,5,85,300,Ottoman WON,0.773756,0.95338
1,2 ,0,0,5,86,300,Ottoman WON,0.74736,0.96167
1,2 ,0,0,5,91,300,Ottoman WON,0.827003,0.94534
1,2 ,0,0,5,85,300,Ottoman WON,0.815228,0.967704
0,0 ,1,0,0,96,300,Tamerlane WON,0.947857,0.587091
0,0 ,1,0,0,94,300,Tamerlane WON,0.94911,0.541879
0,0 ,1,0,0,97,300,Tamerlane WON,0.943396,0.601192
0,0 ,1,0,0,96,300,Tamerlane WON,0.946955,0.60435
0,0 ,1,0,0,96,300,Tamerlane WON,0.972343,0.591973
0,0 ,1,0,0,92,300,Tamerlane WON,0.932093,0.578512
0,0 ,1,0,0,97,300,Tamerlane WON,0.950915,0.615266
0,0 ,1,0,0,102,300,Tamerlane WON,0.97515,0.633037
0,0 ,1,0,0,94,300,Tamerlane WON,0.889386,0.634081
0,0 ,1,0,0,94,300,Tamerlane WON,0.947531,0.593481
0,0 ,1,0,1,100,300,Tamerlane WON,0.959493,0.673832
0,0 ,1,0,1,99,300,Tamerlane WON,0.898278,0.703919
0,0 ,1,0,1,100,300,Tamerlane WON,0.899368,0.693778
0,0 ,1,0,1,101,300,Tamerlane WON,0.89735,0.68763
0,0 ,1,0,1,102,300,Tamerlane WON,0.955995,0.725522
0,0 ,1,0,1,99,300,Tamerlane WON,0.913015,0.647603
0,0 ,1,0,1,96,300,Tamerlane WON,0.88963,0.629057
0,0 ,1,0,1,99,300,Tamerlane WON,0.905587,0.699091
0,0 ,1,0,1,97,300,Tamerlane WON,0.907995,0.680067
0,0 ,1,0,1,95,300,Tamerlane WON,0.905835,0.619098
0,0 ,1,0,2,103,300,Tamerlane WON,0.949844,0.773259
0,0 ,1,0,2,103,300,Tamerlane WON,0.931332,0.745845
0,0 ,1,0,2,102,300,Tamerlane WON,0.888677,0.760512
0,0 ,1,0,2,111,300,Tamerlane WON,0.922134,0.767805
0,0 ,1,0,2,105,300,Tamerlane WON,0.937724,0.804882
0,0 ,1,0,2,107,300,Tamerlane WON,0.943073,0.822263
0,0 ,1,0,2,105,300,Tamerlane WON,0.931238,0.765576
0,0 ,1,0,2,102,300,Tamerlane WON,0.925605,0.808451
0,0 ,1,0,2,105,300,Tamerlane WON,0.967947,0.761333
0,0 ,1,0,2,106,300,Tamerlane WON,0.959545,0.813024
0,0 ,1,0,3,109,300,Tamerlane WON,0.923636,0.857306
0,0 ,1,0,3,110,300,Tamerlane WON,0.895498,0.821737
0,0 ,1,0,3,110,300,Tamerlane WON,0.95283,0.855717
0,0 ,1,0,3,113,300,Tamerlane WON,0.936842,0.895946
0,0 ,1,0,3,116,300,Tamerlane WON,0.922384,0.82901
0,0 ,1,0,3,111,300,Tamerlane WON,0.924168,0.897481
0,0 ,1,0,3,109,300,Tamerlane WON,0.936022,0.856788
0,0 ,1,0,3,115,300,Tamerlane WON,0.908205,0.818869
0,0 ,1,0,3,112,300,Tamerlane WON,0.964151,0.86866
0,0 ,1,0,3,119,300,Ottoman WON,0.938347,0.927677
